1,1,1,20,0.5,5
2,1,1,20,0.5,5
3,1,1,20,0.5,5
4,1,1,20,0.5,5
5,1,1,20,0.5,5
6,1,1,20,0.5,5
6,1,1,20,0.5,5
6,1,1,20,0.5,5
7,1,1,20,0.5,5
7,1,1,20,0.5,5
7,1,1,20,0.5,5
7,1,1,20,0.5,5
7,1,1,20,0.5,5
8,1,1,20,0.5,5
8,1,1,20,0.5,5
8,1,1,20,0.5,5
8,1,1,20,0.5,5
9,1,1,20,0.5,5
9,1,1,20,0.5,5
9,1,1,20,0.5,5
9,1,1,20,0.5,5
10,1,1,20,0.5,5
10,1,1,20,0.5,5
10,1,1,20,0.5,5
10,1,1,20,0.5,5
10,1,1,20,0.5,5
11,1,1,20,0.5,5
11,1,1,20,0.5,5
11,1,1,20,0.5,5
12,1,1,20,0.5,5
12,1,1,20,0.5,5
12,1,1,20,0.5,5
12,1,1,20,0.5,5
12,1,1,20,0.5,5
12,1,1,20,0.5,5
13,1,1,20,0.5,5
14,1,1,20,0.5,5
